Gen	 Best	 B_std_dev	 Mean	 M_std_dev	 Worst	 W_std_dev	 Repeated	 R_std_dev	 Lower	 L_std_dev	 Higher	 H_std_dev
17	 438651,2833	 39145,2220	 6568109115075201000000000000000000000000000000000000000000000000000000,0000	 35975015224819820000000000000000000000000000000000000000000000000000000,0000	 656810911507520100000000000000000000000000000000000000000000000000000000,0000	 3597501522481982000000000000000000000000000000000000000000000000000000000,0000	 38,6667%	 21,3966%	 86,9333%	 14,8183%	 13,0667%	 14,8183%
18	 437083,6178	 39452,2069	 3553965761553761500000000000000000000000000000000000000000000,0000	 19465872162040192000000000000000000000000000000000000000000000,0000	 355396576155376100000000000000000000000000000000000000000000000,0000	 1946587216204019400000000000000000000000000000000000000000000000,0000	 35,6667%	 20,6420%	 86,0667%	 16,7310%	 13,9333%	 16,7310%
19	 436705,3004	 38117,2746	 6182233161869676000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 33861485585125060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 618223316186967600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 3386148558512507000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 33,8333%	 21,3850%	 86,0333%	 14,2332%	 13,9667%	 14,2332%
20	 431734,2785	 42579,1974	 104675199748186170000000000000000000000000000000,0000	 573329591542827700000000000000000000000000000000,0000	 10464807485239007000000000000000000000000000000000,0000	 57318102618006460000000000000000000000000000000000,0000	 31,1333%	 19,8577%	 84,5333%	 15,3392%	 15,4667%	 15,3392%
21	 432746,3834	 42783,8216	 473243236783059100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 2592059959728399000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 47324323678305910000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 259205995972839840000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 29,2000%	 19,6107%	 87,2667%	 14,8136%	 12,7333%	 14,8136%
22	 428713,4149	 42725,8927	 9244546815537533000000000000000000000000000000000000000000000000000000000000000000,0000	 50634468247824540000000000000000000000000000000000000000000000000000000000000000000,0000	 924454681553753300000000000000000000000000000000000000000000000000000000000000000000,0000	 5063446824782458000000000000000000000000000000000000000000000000000000000000000000000,0000	 25,4667%	 21,0791%	 88,8000%	 13,5885%	 11,2000%	 13,5885%
23	 426105,6098	 48765,4758	 161610307397798800000000000000000000000000000000000000000000000,0000	 885176108871184600000000000000000000000000000000000000000000000,0000	 16161030739779880000000000000000000000000000000000000000000000000,0000	 88517610887118330000000000000000000000000000000000000000000000000,0000	 24,0000%	 21,8174%	 80,8667%	 13,8209%	 19,1333%	 13,8209%
24	 429382,7488	 45276,3178	 4439006775628395500000000000000000000000000,0000	 17605572082153501000000000000000000000000000,0000	 443900677562839600000000000000000000000000000,0000	 1760557208215350800000000000000000000000000000,0000	 23,3000%	 22,2806%	 83,0000%	 16,2905%	 17,0000%	 16,2905%
25	 425538,6850	 53200,5429	 41726085905144990000000000000000000000000000000000,0000	 228543184866462730000000000000000000000000000000000,0000	 4172608590514498600000000000000000000000000000000000,0000	 22854318486646276000000000000000000000000000000000000,0000	 21,1667%	 20,6866%	 86,4333%	 13,2994%	 13,5667%	 13,2994%
26	 421825,4067	 52009,9645	 78671860621568790000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 430903527033356200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 7867186062156879000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 43090352703335650000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 21,5667%	 22,8166%	 85,0000%	 13,5697%	 15,0000%	 13,5697%
27	 423055,3168	 52116,2710	 4329232087834639500000000000000000000000,0000	 23712136448959700000000000000000000000000,0000	 432923208783463950000000000000000000000000,0000	 2371213644895969500000000000000000000000000,0000	 21,9000%	 22,1334%	 83,9667%	 14,8335%	 16,0333%	 14,8335%
28	 415341,1137	 58793,4247	 83299911523522230000000000000000000000000000000000000000,0000	 456252405796176600000000000000000000000000000000000000000,0000	 8329991152352222000000000000000000000000000000000000000000,0000	 45625240579617670000000000000000000000000000000000000000000,0000	 20,7000%	 21,8034%	 84,0333%	 14,0749%	 15,9667%	 14,0749%
29	 416537,6520	 60565,3310	 1574328002260283800000000000000000000000000000000000000000000000000000,0000	 8622949597500014000000000000000000000000000000000000000000000000000000,0000	 157432800226028380000000000000000000000000000000000000000000000000000000,0000	 862294959750001500000000000000000000000000000000000000000000000000000000,0000	 20,1667%	 20,1530%	 82,2333%	 15,0967%	 17,7667%	 15,0967%
30	 413669,8244	 60194,3255	 982767967623050100000000000000000000000000000000000000000000000000000000,0000	 5382841846566209600000000000000000000000000000000000000000000000000000000,0000	 98276796762305000000000000000000000000000000000000000000000000000000000000,0000	 538284184656621700000000000000000000000000000000000000000000000000000000000,0000	 20,1333%	 20,8686%	 81,5667%	 15,2354%	 18,4333%	 15,2354%
31	 412947,4755	 60513,2266	 4595873784415893000000000000000000000000000000000000000000000000000000000000000000,0000	 25172637408134508000000000000000000000000000000000000000000000000000000000000000000,0000	 459587378441589240000000000000000000000000000000000000000000000000000000000000000000,0000	 2517263740813453000000000000000000000000000000000000000000000000000000000000000000000,0000	 18,8333%	 20,1393%	 88,8667%	 13,2944%	 11,1333%	 13,2944%
