Gen	 Best	 B_std_dev	 Mean	 M_std_dev	 Worst	 W_std_dev	 Repeated	 R_std_dev	 Lower	 L_std_dev	 Higher	 H_std_dev
71	 333998,0049	 77914,6259	 2225037777102294000000000000000000000000000000000000000000000000000000000000000000000,0000	 12187033818200779000000000000000000000000000000000000000000000000000000000000000000000,0000	 222503777710229400000000000000000000000000000000000000000000000000000000000000000000000,0000	 1218703381820078000000000000000000000000000000000000000000000000000000000000000000000000,0000	 12,3333%	 18,3140%	 89,6667%	 16,2360%	 10,3333%	 16,2360%
72	 330206,1233	 80240,7169	 2971516131604024000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 16275664152700130000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 297151613160402400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 1627566415270014500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 12,1667%	 20,2077%	 84,1333%	 16,6023%	 15,8667%	 16,6023%
73	 330107,4247	 78361,2475	 34266900313304594000000000000000000000000000000000000000000000,0000	 187687542773777640000000000000000000000000000000000000000000000,0000	 3426690031330459000000000000000000000000000000000000000000000000,0000	 18768754277377766000000000000000000000000000000000000000000000000,0000	 13,5333%	 18,3204%	 88,2000%	 13,3298%	 11,8000%	 13,3298%
74	 329671,5642	 79001,2765	 12204490110327740000,0000	 66516948051129280000,0000	 1220449011032574400000,0000	 6651694805112958000000,0000	 12,4667%	 19,3814%	 92,1667%	 10,8662%	 7,8333%	 10,8662%
75	 325654,3430	 80645,1554	 293772716605801180000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 1609059436645698000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 29377271660580118000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 160905943664569820000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 13,0333%	 19,3595%	 90,4667%	 9,9229%	 9,5333%	 9,9229%
76	 329254,0037	 79389,6239	 79368690457717930000000000000000000000000000000000000000000000,0000	 434720221233305100000000000000000000000000000000000000000000000,0000	 7936869045771795000000000000000000000000000000000000000000000000,0000	 43472022123330510000000000000000000000000000000000000000000000000,0000	 12,4667%	 18,9368%	 88,1000%	 11,4571%	 11,9000%	 11,4571%
77	 328466,9132	 79451,6646	 42236836769831310000000000000000000000000000000,0000	 231340682565002300000000000000000000000000000000,0000	 4223683676983132000000000000000000000000000000000,0000	 23134068256500235000000000000000000000000000000000,0000	 13,1333%	 19,2080%	 87,8667%	 14,0215%	 12,1333%	 14,0215%
78	 325298,8292	 79156,2087	 638540193331808600000000000000,0000	 3497414812210062000000000000000,0000	 31929123171479175000000000000000,0000	 174881623485829930000000000000000,0000	 11,5333%	 18,2071%	 89,5000%	 11,1657%	 10,5000%	 11,1657%
79	 325096,4363	 79856,5874	 31795084941486903000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 174148852402452000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 3179508494148690400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 17414885240245202000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 12,0667%	 18,0821%	 89,2333%	 12,9287%	 10,7667%	 12,9287%
80	 319092,7304	 76657,2519	 419542402578571050000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 2297928377221970000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 41954240257857110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 229792837722196950000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 11,9667%	 17,3632%	 88,3667%	 13,5964%	 11,6333%	 13,5964%
81	 318443,2513	 77394,9633	 5276657631294948000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 28901444128920210000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 527665763129494800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 2890144412892020500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 12,6000%	 19,7652%	 89,0667%	 12,9773%	 10,9333%	 12,9773%
82	 317865,9346	 77177,9617	 354565035962217050000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 1942032682991367000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 35456503596221707000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 194203268299136830000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 12,9667%	 17,4682%	 89,5667%	 11,0006%	 10,4333%	 11,0006%
83	 317915,5713	 76957,6511	 102131872118147190000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 559399301993421260000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 10213187211814719000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 55939930199342160000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 13,1000%	 19,5948%	 92,0333%	 10,9999%	 7,9667%	 10,9999%
84	 315155,8933	 77153,4623	 216606992285613470000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 1186405357881779200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 21660699228561343000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 118640535788178070000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 12,8000%	 18,2122%	 88,9667%	 12,0043%	 11,0333%	 12,0043%
85	 313930,0693	 77298,5444	 3850605875501030600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 21090636980738452000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 385060587550103100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 2109063698073842300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 12,5667%	 19,1053%	 89,9667%	 12,5382%	 10,0333%	 12,5382%
86	 313668,3067	 76080,3045	 15197331662430846000000000000000000000000000000000000000000000000000000000,0000	 83239213654008610000000000000000000000000000000000000000000000000000000000,0000	 1519733166243084700000000000000000000000000000000000000000000000000000000000,0000	 8323921365400864000000000000000000000000000000000000000000000000000000000000,0000	 13,1333%	 18,5616%	 92,6333%	 10,6819%	 7,3667%	 10,6819%
87	 312347,5196	 75665,2401	 667695588352673900000000000000000000000000000000000000000,0000	 3657119352874431600000000000000000000000000000000000000000,0000	 66769558835267390000000000000000000000000000000000000000000,0000	 365711935287443300000000000000000000000000000000000000000000,0000	 14,2667%	 19,9585%	 89,1667%	 11,3018%	 10,8333%	 11,3018%
88	 307867,9181	 74974,5544	 252784277490832050000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 1384556509643741200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 25278427749083206000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 138455650964374160000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 12,2000%	 19,1715%	 90,7333%	 12,3817%	 9,2667%	 12,3817%
89	 306254,1975	 74223,6881	 179109881617266690000000000000000000000000000000000000000000000000000000000000,0000	 981025224338569100000000000000000000000000000000000000000000000000000000000000,0000	 17910988161726670000000000000000000000000000000000000000000000000000000000000000,0000	 98102522433856840000000000000000000000000000000000000000000000000000000000000000,0000	 13,1000%	 18,0122%	 89,7667%	 12,3615%	 10,2333%	 12,3615%
90	 306282,2346	 74110,6402	 590772045600689100000000000000000000000000000000000000000000000000000,0000	 3235791757189681400000000000000000000000000000000000000000000000000000,0000	 59077204560068910000000000000000000000000000000000000000000000000000000,0000	 323579175718968200000000000000000000000000000000000000000000000000000000,0000	 11,6333%	 18,2653%	 89,9333%	 11,2063%	 10,0667%	 11,2063%
91	 304018,8955	 73917,3151	 3556308545051043000000000000000000000000000000000000000000000,0000	 19478703557593638000000000000000000000000000000000000000000000,0000	 355630854505104350000000000000000000000000000000000000000000000,0000	 1947870355759362500000000000000000000000000000000000000000000000,0000	 11,6333%	 16,8492%	 91,2333%	 11,9876%	 8,7667%	 11,9876%
92	 304364,5865	 74584,6081	 38761700620140640000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 212306577969130170000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 3876170062014064600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 21230657796913015000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 12,8333%	 18,4037%	 94,5000%	 9,1038%	 5,5000%	 9,1038%
93	 303388,8469	 75427,4696	 276096499307380930000000000000000000000000000000000000000000,0000	 1479231673773100700000000000000000000000000000000000000000000,0000	 27609649930738090000000000000000000000000000000000000000000000,0000	 147923167377309940000000000000000000000000000000000000000000000,0000	 12,0333%	 17,7035%	 91,8000%	 11,3545%	 8,2000%	 11,3545%
94	 302199,5734	 75050,4057	 630677235025663800000000000000000000000000000000000000000000000000000000000000,0000	 3454361481285433000000000000000000000000000000000000000000000000000000000000000,0000	 63067723502566380000000000000000000000000000000000000000000000000000000000000000,0000	 345436148128543200000000000000000000000000000000000000000000000000000000000000000,0000	 12,4667%	 18,9714%	 92,0667%	 10,8974%	 7,9333%	 10,8974%
95	 301256,9694	 75111,2000	 4075746074820214000000000000000000000000000000000000000000000000000,0000	 22323780638421694000000000000000000000000000000000000000000000000000,0000	 407574607482021400000000000000000000000000000000000000000000000000000,0000	 2232378063842170000000000000000000000000000000000000000000000000000000,0000	 12,5333%	 18,6561%	 91,3333%	 11,0869%	 8,6667%	 11,0869%
96	 302721,6173	 74285,9049	 250331075661670630000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 1371119769844294000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 25033107566167060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 137111976984429550000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 13,6667%	 18,0943%	 89,0667%	 13,2585%	 10,9333%	 13,2585%
97	 298660,4137	 75159,2723	 488400154922589500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 2675077819401199500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 48840015492258950000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 267507781940119900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 13,8333%	 18,3831%	 93,3333%	 9,7143%	 6,6667%	 9,7143%
98	 297648,9525	 74733,7614	 9334430949797600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 51126783864561730000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 933443094979759800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 5112678386456171300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 12,7667%	 19,4771%	 92,4000%	 11,2268%	 7,6000%	 11,2268%
99	 297669,3933	 75384,2803	 34511516701566317000000000000000000000000000000000000000000,0000	 189027302542924120000000000000000000000000000000000000000000,0000	 3451151670156631000000000000000000000000000000000000000000000,0000	 18902730254292412000000000000000000000000000000000000000000000,0000	 13,8333%	 18,5232%	 93,7000%	 8,3218%	 6,3000%	 8,3218%
