Gen	 Best	 B_std_dev	 Mean	 M_std_dev	 Worst	 W_std_dev	 Repeated	 R_std_dev	 Lower	 L_std_dev	 Higher	 H_std_dev
39	 0,0000	 0,0000	 127695975676390550000000000000000000000000000000000000000,0000	 699419663805901200000000000000000000000000000000000000000,0000	 12769597567639055000000000000000000000000000000000000000000,0000	 69941966380590120000000000000000000000000000000000000000000,0000	 72,0667%	 16,1735%	 76,9000%	 15,4213%	 23,1000%	 15,4213%
40	 0,0000	 0,0000	 15237307450844778000000000000000000000000,0000	 83458170064692240000000000000000000000000,0000	 1523730745084478000000000000000000000000000,0000	 8345817006469222000000000000000000000000000,0000	 70,3333%	 16,0072%	 76,7667%	 14,8989%	 23,2333%	 14,8989%
41	 0,0000	 0,0000	 17442,8452	 87937,7611	 1744266,8709	 8793775,6271	 72,1000%	 15,4972%	 79,4333%	 17,2860%	 20,5667%	 17,2860%
42	 0,0000	 0,0000	 17335758168222474000000000,0000	 94951858001898880000000000,0000	 1733575816822247500000000000,0000	 9495185800189891000000000000,0000	 72,9333%	 15,7128%	 77,2000%	 16,4325%	 22,8000%	 16,4325%
43	 0,0000	 0,0000	 4285,8754	 23472,6201	 428570,1754	 2347257,1827	 71,6667%	 15,1415%	 76,2000%	 16,4052%	 23,8000%	 16,4052%
44	 0,0000	 0,0000	 3090818418445124500000000000000000000000000,0000	 16929109689348386000000000000000000000000000,0000	 309081841844512440000000000000000000000000000,0000	 1692910968934837700000000000000000000000000000,0000	 72,2000%	 14,8217%	 78,3000%	 15,8052%	 21,7000%	 15,8052%
45	 0,0000	 0,0000	 122266637415978860000000000000000000000,0000	 669681942152183900000000000000000000000,0000	 12226663741597888000000000000000000000000,0000	 66968194215218400000000000000000000000000,0000	 72,3667%	 14,6746%	 78,0667%	 18,2472%	 21,9333%	 18,2472%
46	 0,0000	 0,0000	 1037993084074174800000,0000	 5685322266817824000000,0000	 103799308407417490000000,0000	 568532226681782130000000,0000	 73,4667%	 12,7109%	 82,1667%	 15,8116%	 17,8333%	 15,8116%
47	 0,0000	 0,0000	 4483,4279	 24555,0493	 448328,5258	 2455505,1236	 74,0667%	 14,2827%	 76,8667%	 15,8913%	 23,1333%	 15,8913%
48	 0,0000	 0,0000	 41907904889657434000,0000	 229539048458464360000,0000	 4190790488965743000000,0000	 22953904845846410000000,0000	 73,7333%	 11,7501%	 76,6000%	 15,9192%	 23,4000%	 15,9192%
49	 0,0000	 0,0000	 173,4544	 946,4620	 17327,1664	 94639,4006	 74,8000%	 13,3994%	 80,0667%	 14,4984%	 19,9333%	 14,4984%
50	 0,0000	 0,0000	 0,5865	 1,6976	 42,6770	 169,1133	 75,8000%	 12,6092%	 74,0667%	 17,4473%	 25,9333%	 17,4473%
51	 0,0000	 0,0000	 117403119719488680000000000000,0000	 643043369918435300000000000000,0000	 11740311971948867000000000000000,0000	 64304336991843540000000000000000,0000	 75,1667%	 12,1856%	 76,6333%	 14,9562%	 23,3667%	 14,9562%
52	 0,0000	 0,0000	 23964075,5542	 130713859,3151	 2396407538,4951	 13071385933,5442	 75,6000%	 11,0128%	 80,2333%	 17,1518%	 19,7667%	 17,1518%
53	 0,0000	 0,0000	 392868387099859900000000000000000000000000000000000000,0000	 2151828777452648000000000000000000000000000000000000000,0000	 39286838709985987000000000000000000000000000000000000000,0000	 215182877745265170000000000000000000000000000000000000000,0000	 73,6000%	 11,6281%	 79,6000%	 18,6448%	 20,4000%	 18,6448%
54	 0,0000	 0,0000	 2987742388451664000000000000000000000,0000	 16364539021693384000000000000000000000,0000	 298774238845166370000000000000000000000,0000	 1636453902169338700000000000000000000000,0000	 75,0667%	 12,6843%	 74,9000%	 13,6618%	 25,1000%	 13,6618%
55	 0,0000	 0,0000	 5,8188	 28,9480	 513,0481	 2623,9891	 73,7000%	 13,4758%	 77,2667%	 15,6226%	 22,7333%	 15,6226%
56	 0,0000	 0,0000	 0,9849	 3,3940	 79,2746	 338,1180	 74,7333%	 11,4076%	 77,2333%	 15,1809%	 22,7667%	 15,1809%
