Gen	 Best	 B_std_dev	 Mean	 M_std_dev	 Worst	 W_std_dev
31	 0,0000	 0,0000	 5009269301659086000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 7084176583985483000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 500926930165908650000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 0,0000
32	 0,0000	 0,0000	 10572963123262290000000000000000000000000000000000,0000	 14952427843388128000000000000000000000000000000000,0000	 1057296312326229000000000000000000000000000000000000,0000	 0,0000
33	 0,0000	 0,0000	 501,2548	 687,5870	 41666,7792	 0,0000
34	 0,0000	 0,0000	 50066256357020310000000000000000000,0000	 70804378749002300000000000000000000,0000	 5006625635702029000000000000000000000,0000	 0,0000
35	 0,0000	 0,0000	 97,6652	 85,9403	 6297,4552	 0,0000
36	 0,0000	 0,0000	 34,1018	 34,6169	 2385,4648	 0,0000
37	 0,0000	 0,0000	 1072228400692715700000000000000000000000000000000000000000000000,0000	 1516359946221251800000000000000000000000000000000000000000000000,0000	 107222840069271570000000000000000000000000000000000000000000000000,0000	 0,0000
38	 0,0000	 0,0000	 1072228400692715700000000000000000000000000000000000000000000000,0000	 1516359946221251800000000000000000000000000000000000000000000000,0000	 107222840069271570000000000000000000000000000000000000000000000000,0000	 0,0000
39	 0,0000	 0,0000	 18,7994	 11,6949	 743,4627	 0,0000
40	 0,0000	 0,0000	 77868176396676105000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 110122231137439880000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 7786817569888624000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 0,0000
41	 0,0000	 0,0000	 350,1951	 272,1140	 23591,5455	 0,0000
42	 0,0000	 0,0000	 124,5840	 161,6591	 2312,6552	 0,0000
43	 0,0000	 0,0000	 10,5401	 1,2158	 58,7137	 0,0000
44	 0,0000	 0,0000	 43060,7564	 60672,4678	 4299003,4461	 0,0000
45	 0,0000	 0,0000	 3294349457358117000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 4658913681792295000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 329434945735811700000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 0,0000
46	 0,0000	 0,0000	 4268321034366851000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 6036317495363958000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 426832103436685100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 0,0000
47	 0,0000	 0,0000	 6606409490921436500000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 9342873900601748000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 660640949092143600000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 0,0000
48	 0,0000	 0,0000	 48505229804472850000000000000000000000000000000,0000	 68596753835509170000000000000000000000000000000,0000	 4850522980447285500000000000000000000000000000000,0000	 0,0000
49	 0,0000	 0,0000	 67283150939253560000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 95152744577488430000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 6728315093925356000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 0,0000
50	 0,0000	 0,0000	 1072228400692715700000000000000000000000000000000000000000000000,0000	 1516359946221251800000000000000000000000000000000000000000000000,0000	 107222840069271570000000000000000000000000000000000000000000000000,0000	 0,0000
51	 0,0000	 0,0000	 543197222634770800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 768196879293490400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 54319722263477080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 0,0000
52	 0,0000	 0,0000	 56,5881	 63,1849	 2349,9337	 0,0000
53	 0,0000	 0,0000	 1133143286215788600000000000000000000000000000000000000000000000000000,0000	 1602506603478386000000000000000000000000000000000000000000000000000000,0000	 113314328621578860000000000000000000000000000000000000000000000000000000,0000	 0,0000
54	 0,0000	 0,0000	 24211738556952740000000,0000	 34240569035874160000000,0000	 2421173855695274400000000,0000	 0,0000
55	 0,0000	 0,0000	 1941096,7880	 2745098,0684	 194108902,0085	 0,0000
56	 0,0000	 0,0000	 1947718,1762	 2754409,9482	 194110631,2020	 0,0000
57	 0,0000	 0,0000	 9,7535	 2,2304	 56,3898	 0,0000
58	 0,0000	 0,0000	 796843479577595600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 1126906855907204000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 79684347957759560000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 0,0000
59	 0,0000	 0,0000	 22,8818	 14,0021	 1208,3918	 0,0000
60	 0,0000	 0,0000	 1072228400692715700000000000000000000000000000000000000000000000,0000	 1516359946221251800000000000000000000000000000000000000000000000,0000	 107222840069271570000000000000000000000000000000000000000000000000,0000	 0,0000
61	 0,0000	 0,0000	 71773936015217120,0000	 101503673737618784,0000	 7177393601521712100,0000	 0,0000
62	 0,0000	 0,0000	 1072228400692715700000000000000000000000000000000000000000000000,0000	 1516359946221251800000000000000000000000000000000000000000000000,0000	 107222840069271570000000000000000000000000000000000000000000000000,0000	 0,0000
63	 0,0000	 0,0000	 1072228400692723800000000000000000000000000000000000000000000000,0000	 1516359946221263300000000000000000000000000000000000000000000000,0000	 107222840069271570000000000000000000000000000000000000000000000000,0000	 0,0000
64	 0,0000	 0,0000	 35219069501,1084	 49807285727,6271	 3521906944311,0664	 0,0000
65	 0,0000	 0,0000	 21236720796995747000000000000000000000000000000000000000000000000000000000000000000000,0000	 30033258571442150000000000000000000000000000000000000000000000000000000000000000000000,0000	 2123672079699574600000000000000000000000000000000000000000000000000000000000000000000000,0000	 0,0000
66	 0,0000	 0,0000	 35219069523,2453	 49807285715,2210	 3521906945753,8790	 0,0000
67	 0,0000	 0,0000	 125,3120	 143,7795	 5576,9532	 0,0000
68	 0,0000	 0,0000	 91923928672,7183	 130000066554,0734	 9192392859142,2580	 0,0000
69	 0,0000	 0,0000	 172143174087368900000000000000000000000000000000000000000000000000000000000000,0000	 243447211464309830000000000000000000000000000000000000000000000000000000000000,0000	 17214317408736890000000000000000000000000000000000000000000000000000000000000000,0000	 0,0000
70	 0,0000	 0,0000	 8,7827	 2,3804	 83,6925	 0,0000
71	 0,0000	 0,0000	 67838,0461	 95925,6417	 6783064,5129	 0,0000
72	 0,0000	 0,0000	 101453622905730640000000000000,0000	 143477089465169960000000000000,0000	 10145362289580188000000000000000,0000	 0,0000
73	 0,0000	 0,0000	 57861211682507650000000,0000	 81828110296742900000000,0000	 5786121168250765000000000,0000	 0,0000
74	 0,0000	 0,0000	 53165193382624780000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 75186937527896300000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 5316519338262478000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 0,0000
75	 0,0000	 0,0000	 14653221950724390000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 20722785215177575000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 1465322195072439100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 0,0000
76	 0,0000	 0,0000	 4388205238299107000000000000000000000000000000,0000	 6205859362479257000000000000000000000000000000,0000	 438820523829910700000000000000000000000000000000,0000	 0,0000
77	 0,0000	 0,0000	 688364665342244700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 973494645585419200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 68836466534224470000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 0,0000
78	 0,0000	 0,0000	 35286515682356560000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 49902669046879560000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 3528651568235656000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 0,0000
