Gen	 Best	 B_std_dev	 Mean	 M_std_dev	 Worst	 W_std_dev	 Repeated	 R_std_dev	 Lower	 L_std_dev	 Higher	 H_std_dev
0	 0,0497	 0,2720	 10424033456286384000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 44962140316485216000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 1042403345628598800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 4496214031648508500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 52,1333%	 5,2176%	 0,0000%	 0,0000%	 0,0000%	 0,0000%
1	 0,0000	 0,0000	 35490962892143365000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 175796765318710250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 3549096289214334000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 17579676531871025000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 51,7667%	 6,1626%	 99,3667%	 0,8899%	 0,6333%	 0,8899%
2	 0,0000	 0,0000	 107764838725571710000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 589957920866653600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 10410240988037690000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 56991204483384620000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 47,7667%	 8,9005%	 98,6000%	 2,2530%	 1,4000%	 2,2530%
3	 0,0000	 0,0000	 2513766458763201700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 9634728680017430000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 251376645876320230000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 963472868001742900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 44,0333%	 9,4449%	 97,0333%	 6,4886%	 2,9667%	 6,4886%
4	 0,0000	 0,0000	 4092394228875185000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 20618831074331151000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 409239422887518500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 2061883107433115800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 44,8000%	 8,8645%	 97,6667%	 5,8742%	 2,3333%	 5,8742%
5	 0,0000	 0,0000	 2078721588346582400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 8191624485522215000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 207872158834658230000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 819162448552221300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 43,6333%	 9,2419%	 95,7333%	 7,9522%	 4,2667%	 7,9522%
6	 0,0000	 0,0000	 1653362675208303600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 9055834099812298000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 165336267520830380000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 905583409981230300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 43,6333%	 10,7366%	 96,6000%	 6,4037%	 3,4000%	 6,4037%
7	 0,0000	 0,0000	 49779219478561830000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 272652014034087860000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 4977921947856184000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 27265201403408796000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 45,4333%	 10,7147%	 96,5000%	 7,2576%	 3,5000%	 7,2576%
8	 0,0000	 0,0000	 956861131204035800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 5237032698474262000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 95686113120403560000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 523703269847425900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 46,5667%	 11,1407%	 96,2667%	 5,7651%	 3,7333%	 5,7651%
9	 0,0000	 0,0000	 11048847191647037000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 60517028412926840000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 1104884719164703700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 6051702841292683000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 46,5333%	 13,3436%	 93,6667%	 8,7270%	 6,3333%	 8,7270%
10	 0,0000	 0,0000	 239612468589042150000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 1312411541057163700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 23961246825509090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 131241153922803860000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 46,4000%	 12,0247%	 94,2667%	 7,7412%	 5,7333%	 7,7412%
