Gen	 Best	 B_std_dev	 Mean	 M_std_dev	 Worst	 W_std_dev	 Repeated	 R_std_dev	 Lower	 L_std_dev	 Higher	 H_std_dev
50	 0,0000	 0,0000	 1632831450218720400000000000000,0000	 8943386178886668000000000000000,0000	 163247040657643900000000000000000,0000	 894140866141545800000000000000000,0000	 71,9333%	 19,2371%	 74,4000%	 16,7118%	 25,6000%	 16,7118%
51	 0,0000	 0,0000	 30251588414794673000000000000000000000000000000000000000000000000,0000	 165694773751450000000000000000000000000000000000000000000000000000,0000	 3025158841479467700000000000000000000000000000000000000000000000000,0000	 16569477375144980000000000000000000000000000000000000000000000000000,0000	 71,2333%	 18,8143%	 73,7000%	 17,3983%	 26,3000%	 17,3983%
52	 0,0000	 0,0000	 159624149302255560000000000000000,0000	 874297472953201800000000000000000,0000	 15962414930225556000000000000000000,0000	 87429747295320190000000000000000000,0000	 70,1667%	 20,7033%	 72,8667%	 15,4980%	 27,1333%	 15,4980%
53	 0,0000	 0,0000	 10616938765378905000000000,0000	 58151368534490740000000000,0000	 1061693876537890600000000000,0000	 5815136853449075000000000000,0000	 71,8333%	 18,5325%	 77,1667%	 15,7285%	 22,8333%	 15,7285%
54	 0,0000	 0,0000	 4087979568014454700000000000,0000	 22330705278137420000000000000,0000	 408797956801445500000000000000,0000	 2233070527813742700000000000000,0000	 71,5333%	 19,2277%	 74,6667%	 15,5792%	 25,3333%	 15,5792%
55	 0,0000	 0,0000	 56,6348	 307,3877	 5644,9789	 30739,1796	 72,0667%	 19,7326%	 71,7333%	 16,6463%	 28,2667%	 16,6463%
56	 0,0000	 0,0000	 277,1191	 1504,4981	 27690,3384	 150450,7051	 72,9000%	 18,1912%	 77,9333%	 17,0353%	 22,0667%	 17,0353%
57	 0,0000	 0,0000	 515338593016518160000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 2822625721481214400000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 51533859301651820000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 282262572148121100000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 71,0667%	 17,6165%	 79,2667%	 17,3482%	 20,7333%	 17,3482%
58	 0,0000	 0,0000	 3034741914890844000000000000000000000000000000000000000000000000000000,0000	 16621966029921383000000000000000000000000000000000000000000000000000000,0000	 303474191489084400000000000000000000000000000000000000000000000000000000,0000	 1662196602992137900000000000000000000000000000000000000000000000000000000,0000	 72,6667%	 17,4935%	 80,0333%	 16,8021%	 19,9667%	 16,8021%
59	 0,0000	 0,0000	 10616938765378905000000000,0000	 58151368534490740000000000,0000	 1061693876537890600000000000,0000	 5815136853449075000000000000,0000	 70,1333%	 18,3317%	 80,8667%	 17,7351%	 19,1333%	 17,7351%
60	 0,0000	 0,0000	 372255054846439500000000000000000000,0000	 2038924906847176300000000000000000000,0000	 37225505484643950000000000000000000000,0000	 203892490684717740000000000000000000000,0000	 70,8333%	 17,2608%	 78,0000%	 18,1203%	 22,0000%	 18,1203%
61	 0,0000	 0,0000	 2589999532133261000000000000,0000	 14186011676772134000000000000,0000	 258999953213326130000000000000,0000	 1418601167677213400000000000000,0000	 71,1667%	 18,2153%	 76,6667%	 19,3129%	 23,3333%	 19,3129%
62	 0,0000	 0,0000	 288,1763	 897,3630	 28796,8873	 89729,9160	 70,4667%	 18,9113%	 72,6000%	 13,5025%	 27,4000%	 13,5025%
63	 0,0000	 0,0000	 372255054846439500000000000000000000,0000	 2038924906847176300000000000000000000,0000	 37225505484643950000000000000000000000,0000	 203892490684717740000000000000000000000,0000	 69,1000%	 17,4817%	 75,4667%	 16,3470%	 24,5333%	 16,3470%
64	 0,0000	 0,0000	 456749095070999200000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 2501717824904579000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 45674909507099930000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 250171782490458120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 70,6333%	 17,7599%	 78,6667%	 16,4889%	 21,3333%	 16,4889%
65	 0,0000	 0,0000	 24751115918604200000000,0000	 135567445120446970000000,0000	 2475111591860419700000000,0000	 13556744512044695000000000,0000	 70,4333%	 16,0746%	 80,0333%	 16,4054%	 19,9667%	 16,4054%
66	 0,0000	 0,0000	 17162068764731074000000000000000000000000000000000,0000	 94000521958980330000000000000000000000000000000000,0000	 1716206876473107400000000000000000000000000000000000,0000	 9400052195898032000000000000000000000000000000000000,0000	 71,5333%	 17,8610%	 77,6667%	 17,5604%	 22,3333%	 17,5604%
67	 0,0000	 0,0000	 797795714114589900000000000000000000000000000000000000000,0000	 4369707089015035000000000000000000000000000000000000000000,0000	 79779571411458980000000000000000000000000000000000000000000,0000	 436970708901503500000000000000000000000000000000000000000000,0000	 71,5000%	 18,4835%	 72,6667%	 16,2763%	 27,3333%	 16,2763%
68	 0,0000	 0,0000	 5752,0450	 31503,9030	 575168,6939	 3150282,7374	 69,9333%	 19,4864%	 79,9333%	 17,7238%	 20,0667%	 17,7238%
69	 0,0000	 0,0000	 30251588414794673000000000000000000000000000000000000000000000000,0000	 165694773751450000000000000000000000000000000000000000000000000000,0000	 3025158841479467700000000000000000000000000000000000000000000000000,0000	 16569477375144980000000000000000000000000000000000000000000000000000,0000	 70,3333%	 19,1083%	 71,1667%	 14,7463%	 28,8333%	 14,7463%
70	 0,0000	 0,0000	 13298878600399364000000000000000000000000000000000000000000,0000	 72840957989614640000000000000000000000000000000000000000000,0000	 1329887860039936300000000000000000000000000000000000000000000,0000	 7284095798961465000000000000000000000000000000000000000000000,0000	 71,1000%	 18,3347%	 70,4667%	 14,4741%	 29,5333%	 14,4741%
71	 0,0000	 0,0000	 10616938765378905000000000,0000	 58151368534490740000000000,0000	 1061693876537890600000000000,0000	 5815136853449075000000000000,0000	 69,5333%	 19,2815%	 79,8333%	 17,6187%	 20,1667%	 17,6187%
72	 0,0000	 0,0000	 30251588414794673000000000000000000000000000000000000000000000000,0000	 165694773751450000000000000000000000000000000000000000000000000000,0000	 3025158841479467700000000000000000000000000000000000000000000000000,0000	 16569477375144980000000000000000000000000000000000000000000000000000,0000	 70,5000%	 21,1346%	 78,6333%	 17,4168%	 21,3667%	 17,4168%
73	 0,0000	 0,0000	 78434498397609216,0000	 429603440589733760,0000	 7843449839760920600,0000	 42960344058973360000,0000	 69,6667%	 22,2204%	 73,6667%	 17,8100%	 26,3333%	 17,8100%
74	 0,0000	 0,0000	 30251588414794673000000000000000000000000000000000000000000000000,0000	 165694773751450000000000000000000000000000000000000000000000000000,0000	 3025158841479467700000000000000000000000000000000000000000000000000,0000	 16569477375144980000000000000000000000000000000000000000000000000000,0000	 68,8333%	 18,7563%	 73,2000%	 15,5639%	 26,8000%	 15,5639%
75	 0,0000	 0,0000	 18182902810138576000000000,0000	 99591860296806270000000000,0000	 1818290281013857500000000000,0000	 9959186029680626000000000000,0000	 68,7333%	 18,9463%	 80,8667%	 16,0317%	 19,1333%	 16,0317%
76	 0,0000	 0,0000	 44108370960402940000000000,0000	 241591497498184970000000000,0000	 4410837096040294000000000000,0000	 24159149749818493000000000000,0000	 69,9333%	 19,7884%	 79,6000%	 18,6762%	 20,4000%	 18,6762%
77	 0,0000	 0,0000	 61614268894089040000000000,0000	 337475249374814200000000000,0000	 6161426889408905000000000000,0000	 33747524937481483000000000000,0000	 69,1000%	 19,4694%	 79,5667%	 17,7505%	 20,4333%	 17,7505%
78	 0,0000	 0,0000	 87911631683248440000000000000000,0000	 481234581961644600000000000000000,0000	 8791163168324843000000000000000000,0000	 48123458196164430000000000000000000,0000	 70,2000%	 19,3148%	 76,3333%	 14,8332%	 23,6667%	 14,8332%
79	 0,0000	 0,0000	 11530150629205850000000000000000000,0000	 63153234880216010000000000000000000,0000	 1153015062920449800000000000000000000,0000	 6315323488021626000000000000000000000,0000	 70,6000%	 20,0441%	 84,8000%	 15,6853%	 15,2000%	 15,6853%
80	 0,0000	 0,0000	 23616465167679384000000000,0000	 129317460938858650000000000,0000	 2116393517207031000000000000,0000	 11588440144312156000000000000,0000	 69,2667%	 22,2012%	 71,1333%	 15,4980%	 28,8667%	 15,4980%
81	 0,0000	 0,0000	 168217767069800880000000,0000	 921366655972795500000000,0000	 16821776706980086000000000,0000	 92136665597279600000000000,0000	 69,8667%	 20,6159%	 77,3333%	 18,1209%	 22,6667%	 18,1209%
82	 0,0000	 0,0000	 782,3125	 4227,2026	 78213,6538	 422719,3852	 71,6333%	 20,3783%	 76,2000%	 16,2595%	 23,8000%	 16,2595%
83	 0,0000	 0,0000	 21233877530757810000000000,0000	 116302737068981480000000000,0000	 1061693876537890600000000000,0000	 5815136853449075000000000000,0000	 71,5333%	 20,8653%	 78,1667%	 17,4496%	 21,8333%	 17,4496%
84	 0,0000	 0,0000	 4202,8811	 20812,7891	 420267,8403	 2081279,7299	 70,7333%	 18,9899%	 75,2000%	 17,1392%	 24,8000%	 17,1392%
85	 0,0000	 0,0000	 213290020356494440000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 1168237554399880200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 21329002035649448000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 116823755439988070000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 70,1000%	 19,6370%	 78,0333%	 18,2615%	 21,9667%	 18,2615%
86	 0,0000	 0,0000	 3449449879,5856	 18893407865,7808	 344944987942,5943	 1889340786578,4194	 70,6333%	 20,3732%	 76,4000%	 16,0980%	 23,6000%	 16,0980%
87	 0,0000	 0,0000	 510918241414316100000000000000000000000000000000,0000	 2798414458634911500000000000000000000000000000000,0000	 51091824141431610000000000000000000000000000000000,0000	 279841445863491160000000000000000000000000000000000,0000	 71,3667%	 19,5580%	 77,5000%	 17,6357%	 22,5000%	 17,6357%
88	 0,0000	 0,0000	 10616938765529745000000000,0000	 58151368535316930000000000,0000	 1061693876537890600000000000,0000	 5815136853449075000000000000,0000	 72,5000%	 20,4699%	 81,9333%	 17,8363%	 18,0667%	 17,8363%
89	 0,0000	 0,0000	 32340783831457986000000000000000000000000000000000000000000000000000000,0000	 177137768318878900000000000000000000000000000000000000000000000000000000,0000	 3234078383145798400000000000000000000000000000000000000000000000000000000,0000	 17713776831887893000000000000000000000000000000000000000000000000000000000,0000	 72,7000%	 18,2495%	 77,3333%	 17,5996%	 22,6667%	 17,5996%
90	 0,0000	 0,0000	 3731825815149,8160	 20440051796374,5470	 373182581514361,9000	 2044005179634164,0000	 71,8667%	 20,8521%	 76,2333%	 19,2384%	 23,7667%	 19,2384%
91	 0,0000	 0,0000	 30251588414794690000000000000000000000000000000000000000000000000,0000	 165694773751450000000000000000000000000000000000000000000000000000,0000	 3025158841479469200000000000000000000000000000000000000000000000000,0000	 16569477375144977000000000000000000000000000000000000000000000000000,0000	 70,6000%	 20,3344%	 76,2667%	 16,9460%	 23,7333%	 16,9460%
92	 0,0000	 0,0000	 54536358172135970000000000000000000000000000000000,0000	 298707935750600730000000000000000000000000000000000,0000	 5453635817213596400000000000000000000000000000000000,0000	 29870793575060070000000000000000000000000000000000000,0000	 70,5000%	 20,4041%	 79,7667%	 18,2127%	 20,2333%	 18,2127%
93	 0,0000	 0,0000	 76979224757606210000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 421632578590010700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 7697922475760620000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 42163257859001060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 70,7333%	 19,5817%	 75,3667%	 17,2517%	 24,6333%	 17,2517%
94	 0,0000	 0,0000	 317396857142999800000000000,0000	 1738454183384655500000000000,0000	 31739685714299980000000000000,0000	 173845418338465650000000000000,0000	 68,9667%	 20,2271%	 77,1333%	 16,7120%	 22,8667%	 16,7120%
95	 0,0000	 0,0000	 95346,2907	 520963,7048	 9534603,2528	 52096361,4149	 69,0333%	 20,9408%	 80,4333%	 17,5218%	 19,5667%	 17,5218%
96	 0,0000	 0,0000	 353516575401922300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 1936290027996088000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 35351657540192230000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 193629002799608820000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 69,3000%	 21,8792%	 79,6667%	 16,6471%	 20,3333%	 16,6471%
97	 0,0000	 0,0000	 25992333113794327000000,0000	 142365871686136480000000,0000	 2599233311379432700000000,0000	 14236587168613646000000000,0000	 70,8667%	 21,4424%	 75,0667%	 15,4025%	 24,9333%	 15,4025%
98	 0,0000	 0,0000	 30251588414794673000000000000000000000000000000000000000000000000,0000	 165694773751450000000000000000000000000000000000000000000000000000,0000	 3025158841479467700000000000000000000000000000000000000000000000000,0000	 16569477375144980000000000000000000000000000000000000000000000000000,0000	 72,7000%	 22,2170%	 78,7667%	 16,4708%	 21,2333%	 16,4708%
99	 0,0000	 0,0000	 105818909918002200000000000000000000000,0000	 579594039726969700000000000000000000000,0000	 10581890991799158000000000000000000000000,0000	 57959403972691150000000000000000000000000,0000	 71,9667%	 21,7358%	 76,7667%	 18,1975%	 23,2333%	 18,1975%
